Activida durante el hecho 	casos
Actividades ilÃ­citas o delictivas	143
Actividades relacionadas con enfrentamientos armados	65
Actividades relacionadas con la asistencia a eventos culturales, de entretenimiento y/o deportivos	19
Actividades relacionadas con el trabajo remunerado	9
Actividades vitales o relacionadas con el cuidado personal	7
Actividades relacionadas con los deportes y el ejercicio fÃ­sico	5
Actividades de trabajo domÃ©stico no pagado para el uso del propio hogar	4
Actividades de desplazamiento de un lugar a otro	2
Actividades relacionadas con manifestaciones pÃºblicas (Marchas, protestas, etc)	1
Durante una retenciÃ³n legal (preso detenido)	1
Otra	106
