Departamento	Municipio	casos
Amazonas	Total	1
Amazonas	Miriti - Parana	1
Antioquia	Total	79
Antioquia	Anori	1
Antioquia	Anza	1
Antioquia	Apartado	1
Antioquia	Barbosa	1
Antioquia	Bello	1
Antioquia	Briceno	5
Antioquia	Caceres	9
Antioquia	Carepa	2
Antioquia	Carolina	1
Antioquia	Dabeiba	1
Antioquia	El Bagre	5
Antioquia	Envigado	2
Antioquia	Gomez Plata	1
Antioquia	Ituango	5
Antioquia	Medellin	20
Antioquia	Nechi	1
Antioquia	Necocli	1
Antioquia	San Andres de Cuerquia	4
Antioquia	San Pedro de Uraba	1
Antioquia	Santa Fe de Antioquia	2
Antioquia	Taraza	5
Antioquia	Turbo	6
Antioquia	Yali	2
Antioquia	Zaragoza	1
Arauca	Total	25
Arauca	Arauca	1
Arauca	Arauquita	4
Arauca	Fortul	16
Arauca	Saravena	2
Arauca	Tame	2
Atlantico	Total	30
Atlantico	Barranquilla	24
Atlantico	Ponedera	1
Atlantico	Soledad	5
Bogota	Total	21
Bogota	Bogota	21
Bolivar	Total	38
Bolivar	Arjona	1
Bolivar	Cantagallo	1
Bolivar	Cartagena de Indias	26
Bolivar	Clemencia	1
Bolivar	Magangue	1
Bolivar	Maria la Baja	1
Bolivar	Montecristo	1
Bolivar	Norosi	1
Bolivar	San Jacinto	1
Bolivar	San Pablo	2
Bolivar	Santa Rosa del Sur	2
Boyaca	Total	7
Boyaca	Labranzagrande	1
Boyaca	Moniquira	1
Boyaca	Pajarito	1
Boyaca	Paya	1
Boyaca	Pisba	2
Boyaca	Tunja	1
Caldas	Total	4
Caldas	La Dorada	1
Caldas	Manizales	2
Caldas	Samana	1
Caqueta	Total	6
Caqueta	Florencia	1
Caqueta	La Montanita	4
Caqueta	San Vicente del Caguan	1
Casanare	Total	5
Casanare	Nunchia	2
Casanare	Paz de Ariporo	2
Casanare	San Luis de Palenque	1
Cauca	Total	9
Cauca	Argelia	1
Cauca	Cajibio	1
Cauca	Caloto	1
Cauca	Morales	2
Cauca	Popayan	2
Cauca	Santander de Quilichao	1
Cauca	Suarez	1
Cesar	Total	20
Cesar	Aguachica	3
Cesar	Agustin Codazzi	1
Cesar	Chiriguana	1
Cesar	La Gloria	1
Cesar	La Jagua de Ibirico	3
Cesar	Rio de Oro	1
Cesar	Valledupar	10
Choco	Total	19
Choco	Acandi	2
Choco	El Carmen de Atrato	1
Choco	El Litoral del San Juan	1
Choco	Quibdo	1
Choco	Rio Quito	1
Choco	Riosucio	3
Choco	Sipi	1
Choco	Unguia	9
Cordoba	Total	15
Cordoba	Cerete	2
Cordoba	Lorica	2
Cordoba	Montelibano	1
Cordoba	Monteria	1
Cordoba	Pueblo Nuevo	2
Cordoba	Sahagun	1
Cordoba	San Jose de Ure	4
Cordoba	Tierralta	2
Cundinamarca	Total	2
Cundinamarca	El Colegio	1
Cundinamarca	Soacha	1
Guaviare	Total	13
Guaviare	Calamar	11
Guaviare	El Retorno	2
Huila	Total	4
Huila	Isnos	1
Huila	Neiva	1
Huila	Pitalito	1
Huila	San Agustin	1
La Guajira	Total	2
La Guajira	Fonseca	1
La Guajira	Riohacha	1
La Guajira	Magdalena	4
La Guajira	Cienaga	1
La Guajira	El Banco	1
La Guajira	Puebloviejo	1
La Guajira	Sitionuevo	1
Meta	Total	6
Meta	Lejanias	1
Meta	Mapiripan	1
Meta	Puerto Rico	1
Meta	Uribe	1
Meta	Villavicencio	2
Narino	Total	21
Narino	Barbacoas	1
Narino	Cumbal	1
Narino	El Charco	1
Narino	Leiva	1
Narino	Magui	2
Narino	Pasto	4
Narino	San Andres de Tumaco	11
Norte de Santander	Total	26
Norte de Santander	Cachira	1
Norte de Santander	Chinacota	2
Norte de Santander	Chitaga	4
Norte de Santander	Cucuta	6
Norte de Santander	El Carmen	11
Norte de Santander	Sardinata	1
Norte de Santander	Tibu	1
Putumayo	Total	3
Putumayo	Puerto Guzman	3
Putumayo	Risaralda	2
Putumayo	Pereira	2
Santander	Total	8
Santander	Barrancabermeja	2
Santander	Bucaramanga	1
Santander	Confines	1
Santander	Curiti	1
Santander	Piedecuesta	1
Santander	Simacota	1
Santander	Velez	1
Sucre	Total	5
Sucre	Corozal	1
Sucre	Majagual	1
Sucre	Santiago de Tolu	1
Sucre	Sincelejo	2
Tolima	Total	2
Tolima	Ibague	2
Valle del Cauca	Total	19
Valle del Cauca	Bolivar	2
Valle del Cauca	Buenaventura	2
Valle del Cauca	Caicedonia	1
Valle del Cauca	Cali	6
Valle del Cauca	Cartago	2
Valle del Cauca	Guadalajara de Buga	1
Valle del Cauca	Jamundi	2
Valle del Cauca	Sevilla	2
Valle del Cauca	Tulua	1
Vichada	Total	1
Vichada	Santa Rosalia	1
